"","max.distance","colonisers.perwave","move.days","colonisation.prob"
"1",20,20,"160",0.94
"2",40,20,"160",0.37
"3",60,20,"160",0.069
"4",80,20,"160",0.009
"5",100,20,"160",0.003
"6",120,20,"160",0
"7",140,20,"160",0
"8",160,20,"160",0
"9",180,20,"160",0
"10",200,20,"160",0
"11",20,40,"160",0.999
"12",40,40,"160",0.705
"13",60,40,"160",0.197
"14",80,40,"160",0.04
"15",100,40,"160",0.01
"16",120,40,"160",0.005
"17",140,40,"160",0
"18",160,40,"160",0
"19",180,40,"160",0
"20",200,40,"160",0
"21",20,60,"160",1
"22",40,60,"160",0.896
"23",60,60,"160",0.356
"24",80,60,"160",0.065
"25",100,60,"160",0.019
"26",120,60,"160",0.003
"27",140,60,"160",0.001
"28",160,60,"160",0
"29",180,60,"160",0
"30",200,60,"160",0
"31",20,80,"160",1
"32",40,80,"160",0.948
"33",60,80,"160",0.479
"34",80,80,"160",0.147
"35",100,80,"160",0.032
"36",120,80,"160",0.007
"37",140,80,"160",0.002
"38",160,80,"160",0
"39",180,80,"160",0
"40",200,80,"160",0
"41",20,100,"160",1
"42",40,100,"160",0.978
"43",60,100,"160",0.606
"44",80,100,"160",0.21
"45",100,100,"160",0.039
"46",120,100,"160",0.007
"47",140,100,"160",0.001
"48",160,100,"160",0
"49",180,100,"160",0
"50",200,100,"160",0
"51",20,20,"140",0.882
"52",40,20,"140",0.242
"53",60,20,"140",0.04
"54",80,20,"140",0.003
"55",100,20,"140",0
"56",120,20,"140",0
"57",140,20,"140",0
"58",160,20,"140",0
"59",180,20,"140",0
"60",200,20,"140",0
"61",20,40,"140",0.991
"62",40,40,"140",0.532
"63",60,40,"140",0.11
"64",80,40,"140",0.02
"65",100,40,"140",0.004
"66",120,40,"140",0.002
"67",140,40,"140",0
"68",160,40,"140",0
"69",180,40,"140",0
"70",200,40,"140",0
"71",20,60,"140",0.999
"72",40,60,"140",0.764
"73",60,60,"140",0.217
"74",80,60,"140",0.027
"75",100,60,"140",0.006
"76",120,60,"140",0
"77",140,60,"140",0
"78",160,60,"140",0
"79",180,60,"140",0
"80",200,60,"140",0
"81",20,80,"140",0.999
"82",40,80,"140",0.872
"83",60,80,"140",0.307
"84",80,80,"140",0.079
"85",100,80,"140",0.012
"86",120,80,"140",0.002
"87",140,80,"140",0.001
"88",160,80,"140",0
"89",180,80,"140",0
"90",200,80,"140",0
"91",20,100,"140",1
"92",40,100,"140",0.929
"93",60,100,"140",0.399
"94",80,100,"140",0.104
"95",100,100,"140",0.012
"96",120,100,"140",0.001
"97",140,100,"140",0
"98",160,100,"140",0
"99",180,100,"140",0
"100",200,100,"140",0
"101",20,20,"120",0.782
"102",40,20,"120",0.126
"103",60,20,"120",0.014
"104",80,20,"120",0.001
"105",100,20,"120",0
"106",120,20,"120",0
"107",140,20,"120",0
"108",160,20,"120",0
"109",180,20,"120",0
"110",200,20,"120",0
"111",20,40,"120",0.968
"112",40,40,"120",0.355
"113",60,40,"120",0.042
"114",80,40,"120",0.003
"115",100,40,"120",0.002
"116",120,40,"120",0.001
"117",140,40,"120",0
"118",160,40,"120",0
"119",180,40,"120",0
"120",200,40,"120",0
"121",20,60,"120",0.989
"122",40,60,"120",0.537
"123",60,60,"120",0.093
"124",80,60,"120",0.006
"125",100,60,"120",0.001
"126",120,60,"120",0
"127",140,60,"120",0
"128",160,60,"120",0
"129",180,60,"120",0
"130",200,60,"120",0
"131",20,80,"120",0.996
"132",40,80,"120",0.695
"133",60,80,"120",0.159
"134",80,80,"120",0.032
"135",100,80,"120",0.001
"136",120,80,"120",0
"137",140,80,"120",0
"138",160,80,"120",0
"139",180,80,"120",0
"140",200,80,"120",0
"141",20,100,"120",0.996
